HandRight X=0.07  Y=0.19  Z=1034.66  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.68  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.74  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.82  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1034.91  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.01  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.11  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.20  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.29  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.38  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.46  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.54  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.61  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.67  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.73  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.78  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.82  | convert 0.6 0.7 
HandRight X=0.07  Y=0.19  Z=1035.85  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1035.88  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1035.92  | convert 0.6 0.7 
HandRight X=0.08  Y=0.18  Z=1036.04  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1036.24  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1036.61  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1036.95  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1037.27  | convert 0.6 0.7 
HandRight X=0.07  Y=0.18  Z=1037.54  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1037.77  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1037.96  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.11  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.24  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.34  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.43  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.50  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.57  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.64  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.70  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.74  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.78  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.80  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.82  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.84  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.84  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.85  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.86  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.86  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.88  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.90  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.94  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1038.98  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1039.02  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1039.06  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1039.10  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1039.13  | convert 0.6 0.7 
HandRight X=0.07  Y=0.17  Z=1039.15  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.17  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.19  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.22  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.24  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.26  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.29  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.30  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.31  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.32  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.32  | convert 0.6 0.7 
HandRight X=0.07  Y=0.16  Z=1039.32  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.30  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.27  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.23  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.19  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.15  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.10  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.05  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1039.00  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.94  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.89  | convert 0.6 0.7 
HandRight X=0.06  Y=0.16  Z=1038.84  | convert 0.6 0.7 
